joint1,joint2,joint3,joint4,joint5,joint6,joint7,joint8,joint9,joint10,joint11,joint12
7.2726794,7.3760277,7.508985,7.385408,7.315362,7.2069465,7.2672997,7.2845374,7.2067715,7.352629,7.273474,7.401692
7.2397314,9.044323,7.3029886,7.32964,7.333212,7.2345825,7.2861286,7.700921,7.903509,7.476451,7.4030095,7.441086
7.2475863,7.3069254,7.309464,7.23121,7.20345,7.167037,7.186304,7.2766515,7.2777287,7.2465597,7.1994196,12.438686
7.200458,7.2669106,7.483481,7.2524386,7.2109495,7.2047025,7.253728,7.949174,7.2034455,7.195768,7.2765394,7.228239
6.9897643,5.763555,6.045306,7.153974,5.4948655,3.4701317,7.1928764,7.186285,7.201166,7.19897,7.198439,5.9212986
4.3810764,4.0097185,7.2637444,4.617565,7.1754795,7.2092844,3.6287776,5.5885335,6.630496,7.1970063,7.20846,7.0241385
7.2058745,7.2769366,7.3417297,7.234102,7.183601,7.174555,7.205139,4.528087,7.3203817,7.2050863,7.2279125,7.194357
5.025982,7.1066633,4.0133162,7.329003,3.9699327,6.3123895,4.3614584,7.251828,7.206253,7.3454677,7.2391463,7.2035185
5.16522,7.1204926,7.379462,6.5983153,6.7410894,7.205114,7.2884427,7.0062467,6.3565365,7.1978184,7.3061925,7.209246
7.09938,2.8504787,7.1903707,7.173966,1.5701921,3.62894,4.337659,4.1558867,6.9973417,4.5734674,4.084917,3.1781968
2.6902362,7.2486216,7.228914,7.2777906,6.66745,4.4720055,6.827046,7.1840178,7.615076,7.2135807,7.203742,7.2039186
3.6711365,7.1941243,7.2667175,4.0883285,4.398031,7.2242886,3.59483,4.2812167,5.123342,7.2117926,5.5845543,7.2094246
4.7692514,1.9193073,6.896158,1.3390531,2.2934662,3.9615584,3.167696,3.879672,2.4352973,5.0009595,6.310338,6.358462
7.2210003,7.171536,7.272134,7.269906,7.203028,7.182607,7.235168,4.699584,7.1966926,7.2177483,7.2020646,7.229945
5.8605,7.276555,6.823467,7.275556,7.1988283,5.442072,5.9859334,7.187778,7.1996337,6.814615,7.4447905,7.2091394
